Date,Date_YMD,Daily Confirmed
30-Jan-20,30-01-2020,1
31-Jan-20,31-01-2020,0
01-Feb-20,01-02-2020,0
02-Feb-20,02-02-2020,1
03-Feb-20,03-02-2020,1
04-Feb-20,04-02-2020,0
05-Feb-20,05-02-2020,0
06-Feb-20,06-02-2020,0
07-Feb-20,07-02-2020,0
08-Feb-20,08-02-2020,0
09-Feb-20,09-02-2020,0
10-Feb-20,10-02-2020,0
11-Feb-20,11-02-2020,0
12-Feb-20,12-02-2020,0
13-Feb-20,13-02-2020,0
14-Feb-20,14-02-2020,0
15-Feb-20,15-02-2020,0
16-Feb-20,16-02-2020,0
17-Feb-20,17-02-2020,0
18-Feb-20,18-02-2020,0
19-Feb-20,19-02-2020,0
20-Feb-20,20-02-2020,0
21-Feb-20,21-02-2020,0
22-Feb-20,22-02-2020,0
23-Feb-20,23-02-2020,0
24-Feb-20,24-02-2020,0
25-Feb-20,25-02-2020,0
26-Feb-20,26-02-2020,0
27-Feb-20,27-02-2020,0
28-Feb-20,28-02-2020,0
29-Feb-20,29-02-2020,0
01-Mar-20,01-03-2020,0
02-Mar-20,02-03-2020,2
03-Mar-20,03-03-2020,1
04-Mar-20,04-03-2020,22
05-Mar-20,05-03-2020,2
06-Mar-20,06-03-2020,1
07-Mar-20,07-03-2020,3
08-Mar-20,08-03-2020,5
09-Mar-20,09-03-2020,9
10-Mar-20,10-03-2020,15
11-Mar-20,11-03-2020,8
12-Mar-20,12-03-2020,10
13-Mar-20,13-03-2020,10
14-Mar-20,14-03-2020,11
15-Mar-20,15-03-2020,10
16-Mar-20,16-03-2020,14
17-Mar-20,17-03-2020,20
18-Mar-20,18-03-2020,25
19-Mar-20,19-03-2020,27
20-Mar-20,20-03-2020,58
21-Mar-20,21-03-2020,78
22-Mar-20,22-03-2020,69
23-Mar-20,23-03-2020,94
24-Mar-20,24-03-2020,74
25-Mar-20,25-03-2020,86
26-Mar-20,26-03-2020,73
27-Mar-20,27-03-2020,153
28-Mar-20,28-03-2020,136
29-Mar-20,29-03-2020,120
30-Mar-20,30-03-2020,187
31-Mar-20,31-03-2020,309
01-Apr-20,01-04-2020,424
02-Apr-20,02-04-2020,486
03-Apr-20,03-04-2020,560
04-Apr-20,04-04-2020,579
05-Apr-20,05-04-2020,609
06-Apr-20,06-04-2020,484
07-Apr-20,07-04-2020,573
08-Apr-20,08-04-2020,565
09-Apr-20,09-04-2020,813
10-Apr-20,10-04-2020,871
11-Apr-20,11-04-2020,854
12-Apr-20,12-04-2020,758
13-Apr-20,13-04-2020,1243
14-Apr-20,14-04-2020,1031
